Country,U5MR,Sanitatation Facilities,Skilled Attendant at  birth ,ODA inflow,HDI 2013,GNI 2013,Population (Thousands) 2013,Life Expectancy 2013,Total Fertility Rate,GNIper capital (US$)
Afghanistan,97,29,39,"6,725",0.468,700,30551.67,60.95,4.9,700
Albania,15,91,99,342,0.716,"4,700",3173.27,77.39,1.77,"4,700"
Algeria,25,95,97,145,0.717,"5,290",39208.19,71,2.8,"5,290"
Angola,167,60,47,242,0.526,"5,010",21471.62,51.9,5.86,"5,010"
Antigua and Barbuda,9,,100,2,0.774,"12,910",89.99,75.95,2.09,"12,910"
Argentina,13,97,98,179,0.808,,41446.25,76.31,2.18,
Armenia,16,91,100,273,0.73,"3,790",2976.57,74.56,1.74,"3,790"
Australia,4,100,,,0.933,"65,520",23342.55,82.5,1.88,"65,520"
Austria,4,100,,,0.881,"48,590",8495.15,81.14,1.47,"48,590"
Azerbaijan,34,82,99,338,0.747,"7,350",9413.42,70.75,1.92,"7,350"
Bahamas,13,92,99,,0.789,"20,600",377.37,75.24,1.89,"20,600"
Bahrain,6,99,100,,0.815,"19,560",1332.17,76.61,2.08,"19,560"
Bangladesh,41,57,34,"2,152",0.558,900,156594.96,70.66,2.18,900
Barbados,14,,100,,0.776,"15,080",284.64,75.37,1.85,"15,080"
Belarus,5,94,100,103,0.786,"6,720",9356.68,69.93,1.49,"6,720"
Belgium,4,100,,,0.881,"45,210",11104.48,80.55,1.85,"45,210"
Belize,17,91,96,25,0.732,"4,660",331.9,73.88,2.68,"4,660"
Benin,85,14,81,511,0.476,790,10323.47,59.33,4.85,790
Bhutan,36,47,65,161,0.584,"2,460",753.95,68.29,2.23,"2,460"
Bolivia (Plurinational State of),39,46,84,659,0.667,"2,550",10671.2,67.26,3.22,"2,550"
Bosnia and Herzegovina,7,95,100,571,0.731,"4,740",3829.31,76.37,1.28,"4,740"
Botswana,47,64,95,74,0.683,"7,730",2021.14,47.57,2.62,"7,730"
Brazil,14,81,98,"1,288",0.744,"11,690",200361.93,73.94,1.8,"11,690"
Bulgaria,12,100,100,,0.777,"7,030",7222.94,73.55,1.54,"7,030"
Burkina Faso,98,19,66,"1,159",0.388,670,16934.84,56.34,5.61,670
Burundi,83,47,60,523,0.389,280,10162.53,54.1,6.03,280
Cambodia,38,37,72,807,0.584,950,15135.17,71.92,2.86,950
Cameroon,95,45,64,596,0.504,"1,270",22253.96,55.07,4.78,"1,270"
Canada,5,100,100,,0.902,"52,200",35181.7,81.48,1.67,"52,200"
Central African Republic,139,22,54,227,0.341,320,4616.42,50.18,4.37,320
Chad,148,12,23,479,0.372,"1,020",12825.31,51.18,6.26,"1,020"
